survey_year,household_id,survey_weight,total_consumption_spend_eur,home_energy_spend_eur,home_electricity_spend_eur,home_gas_spend_eur,home_other_fuels_spend_eur,private_vehicle_fuel_spend_eur,vehicle_diesel_spend_eur,vehicle_petrol_spend_eur,monthly_net_income_eur,household_size,children_under18,employed_members,region_code,municipality_size_code,dwelling_area_m2,heating_energy_source,hot_water_energy_source
2023,5960,1304.540623,19154.2902148475,885.360003082096,885.360003082096,0,0,1981.19555990247,0,1981.19555990247,790,3,0,1,1,3,80,No heating,LPG
2023,5961,245.255608,37875.7620090791,2397.6449908537897,1043.9999806243,0,1353.64501022949,7677.11908956634,0,7677.11908956634,1200,2,0,0,15,5,75,Other liquid fuels,Other liquid fuels
2023,5962,806.917844,17254.5366960555,864.000003450166,720.000002875138,144.000000575028,0,0,0,0,1753,1,0,1,1,5,300,No heating,Electricity
2023,5963,206.176452,33781.3576305019,861.840032051769,387.00001491926,474.840017132509,0,0,0,0,1600,2,0,1,16,3,80,Natural gas,Natural gas
2023,5964,545.772359,31373.5126882818,971.879999514596,971.879999514596,0,0,2237.57339458813,0,2237.57339458813,895,3,2,1,2,5,120,No heating,Electricity
2023,5965,594.181547,112299.290708198,2100.0000021878786,899.9999961291289,1200.00000605875,0,6760.20706176525,6760.20706176525,0,2396,3,0,2,7,2,80,Natural gas,Natural gas
2023,5966,281.973042,26893.7160311942,1199.99999858142,1199.99999858142,0,0,3211.58027581942,3211.58027581942,0,3380,3,1,1,5,5,100,No heating,Electricity
2023,5967,1449.485422,51191.6702533073,689.999999185918,689.999999185918,0,0,2563.16246690751,1857.3665999933,705.79586691421,2674,3,0,2,1,1,110,No heating,Electricity
2023,5968,1933.351531,30040.25541592,1979.999999286214,1110.00000030517,869.999998981044,0,0,0,0,3800,5,1,2,9,1,70,Natural gas,Natural gas
2023,5969,653.959688,49485.4603331452,869.5135654905998,573.061362767058,296.0924099040187,0.35979281952315084,6377.587665617698,6376.14852492253,1.42349752910152,3240,3,0,1,8,2,87,Natural gas,Natural gas
2023,5970,322.907007,53729.2618738373,1534.1999995682959,942.240005339989,591.959994228307,0,3051.00099608554,3051.00099608554,0,3911,3,1,1,16,5,300,Natural gas,Natural gas
2023,5971,407.115386,19290.8769358081,959.9999986244679,696.000003301275,263.999995323193,0,0,0,0,868,3,2,0,7,2,95,Natural gas,Natural gas
2023,5972,5801.032837,27225.4687514709,809.5421991144294,805.559999625287,0,3.98219948914245,3095.61447324729,0,3095.61447324729,4336,4,0,2,9,5,200,Electricity,Electricity
2023,5973,1535.699815,30034.8885240961,336.000001406525,336.000001406525,0,0,0,0,0,1795,4,0,1,10,1,89,Electricity,LPG
2023,5974,939.288412,96300.2065120761,1486.439992405656,629.039997142007,857.399995263649,0,4123.36146227257,4123.36146227257,0,3193,3,0,1,8,2,180,LPG,LPG
2023,5975,358.88513,86019.2100185371,2760.000031207762,1560.000020062132,0,1200.00001114563,4811.417402554406,62.525493881566,4748.89190867284,3400,4,1,2,8,3,100,Other liquid fuels,Other liquid fuels
2023,5976,457.897611,28458.9191053893,989.999989320757,989.999989320757,0,0,0,0,0,1687,3,1,2,11,1,72,Electricity,Electricity
2023,5977,429.771652,12740.8270985728,818.400000007446,818.400000007446,0,0,997.253816079987,997.253816079987,0,2150,2,0,1,3,4,100,Electricity,Electricity
2023,5978,1254.561413,35599.7802875195,743.9999989861001,324.000001744036,419.999997242064,0,0,0,0,2050,4,1,2,1,1,50,No heating,Natural gas
2023,5979,1247.213037,56581.259244807,1575.509597563644,839.99999913407,20.7936970113631,714.715901418211,266.061995950737,165.205898180489,100.856097770248,3757,2,0,0,13,2,200,Other liquid fuels,Other liquid fuels
2023,5980,345.615507,18434.0673984863,708.0000030206979,479.999990278214,228.000012742484,0,1661.16328223664,1661.16328223664,0,1794,2,0,0,6,2,100,Natural gas,Natural gas
2023,5981,454.216975,57628.4397341161,707.999981726795,467.999990533159,239.999991193636,0,0,0,0,3052,2,0,1,16,5,300,LPG,LPG
2023,5982,638.37494,34336.609939607,1957.32000382095,1957.32000382095,0,0,4387.294839612593,4261.55564627897,125.739193333623,2803,2,0,2,2,5,92,Electricity,Electricity
2023,5983,680.343786,30185.2886034885,2989.62000073299,1245.36000392014,1744.25999681285,0,0,0,0,2500,4,2,2,8,4,140,Natural gas,Natural gas
2023,5984,1071.939613,50224.4864328939,1699.016938932735,719.999998731272,979.0169402014631,0,2500.9520289087395,12.6898659542308,2488.18308200725,2698,2,0,1,10,2,68,No heating,Natural gas
2023,5985,254.668102,21102.7550674564,1008.000012502547,708.000014858555,299.999997643992,0,0,0,0,1000,1,0,0,6,1,45,No heating,Electricity
2023,5986,1943.492874,4993.03290988038,0,0,0,0,116.4093025637713,3.5304014189043,112.878901144867,0,2,0,0,1,3,50,No heating,LPG
2023,5987,966.81468,17693.3552250158,1299.95999853871,1299.95999853871,0,0,2476.49053073956,0,2476.49053073956,1682,4,1,1,10,1,90,No heating,Electricity
